Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
1,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,8/22/86,89,8.1,Wil Wheaton,Stephen King,1986
2,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,5/16/86,110,6.9,Tom Cruise,Jim Cash,1986
3,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,7/18/86,137,8.4,Sigourney Weaver,James Cameron,1986
4,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,6/11/86,103,7.8,Matthew Broderick,John Hughes,1986
5,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,2/28/86,96,6.8,Molly Ringwald,John Hughes,1986
6,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,2/6/87,120,8.1,Charlie Sheen,Oliver Stone,1986
7,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,10/23/86,120,7.8,Isabella Rossellini,David Lynch,1986
8,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,7/25/86,98,5.4,Emilio Estevez,Stephen King,1986
9,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,6/27/86,101,7.4,David Bowie,Dennis Lee,1986
10,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,9/26/86,97,6.5,Paul Hogan,Ken Shadie,1986
11,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,3/7/86,116,7.2,Christopher Lambert,Gregory Widen,1986
12,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,8/15/86,96,7.5,Jeff Goldblum,George Langelaan,1986
13,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,7/2/86,99,7.3,Kurt Russell,Gary Goldman,1986
14,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,8/15/86,120,7.2,William Petersen,Thomas Harris,1986
15,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9_ Weeks,R,2/21/86,117,5.9,Mickey Rourke,Elizabeth McNeill,1986
16,10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,3/26/86,91,6.3,Tom Hanks,David Giler,1986
17,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,8/22/86,89,5.6,Dennis Hopper,L.M. Kit Carson,1986
18,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,12/19/86,94,6.9,Rick Moranis,Howard Ashman,1986
19,25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/86,94,5.9,Eddie Murphy,Dennis Feldman,1986
20,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,8/1/86,110,4.6,Lea Thompson,Steve Gerber,1986
21,0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979,The Karate Kid Part II,PG,6/20/86,113,5.9,Pat Morita,Robert Mark Kamen,1986
22,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,11/21/86,93,5.9,Charlie Sheen,Mike Marvin,1986
23,0,TriStar Pictures,USA,John Badham,Comedy,40697761,Short Circuit,PG,5/9/86,98,6.6,Ally Sheedy,S.S. Wilson,1986
24,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,3/28/86,100,6.8,Corey Haim,David Seltzer,1986
25,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,4/11/86,82,6,Dee Wallace,Domonic Muir,1986
26,0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487,The Name of the Rose,R,9/24/86,130,7.8,Sean Connery,Umberto Eco,1986
27,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,8/1/86,90,6.9,Joey Cramer,Mark H. Baker,1986
28,25000000,L.A. Films,USA,John Landis,Comedy,39246734,çThree Amigos!,PG,12/12/86,104,6.4,Steve Martin,Steve Martin,1986
29,25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,5/23/86,87,5.7,Sylvester Stallone,Paula Gosling,1986
30,24500000,Warner Bros.,UK,Roland Joff_,Adventure,17218023,The Mission,PG,10/31/86,125,7.5,Robert De Niro,Robert Bolt,1986
31,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,12/5/86,130,6.8,Clint Eastwood,James Carabatsos,1986
32,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,10/17/86,119,7,Paul Newman,Walter Tevis,1986
33,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,5/8/87,99,7.1,Crispin Glover,Neal Jimenez,1986
34,3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,8/1/86,86,5.9,Thom Mathews,Tom McLoughlin,1986
35,12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,6/6/86,100,5.5,Karen Black,Richard Blake,1986
36,0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726,Running Scared,R,6/27/86,107,6.5,Gregory Hines,Gary DeVore,1986
37,6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,2/21/86,97,7.3,Rutger Hauer,Eric Red,1986
38,0,Universal Pictures,USA,Don Bluth,Animation,47483002,An American Tail,G,11/21/86,80,6.9,Dom DeLuise,Judy Freudberg,1986
39,4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,11/7/86,112,7.1,Gary Oldman,Alex Cox,1986
